ensemble,kind,candidate,group,projection,weight,weight_mean,weight_min,weight_max,weight_std,alpha_mean
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p1,baseline,1,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p2,baseline,2,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,baseline_p3,baseline,3,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,static_p0,static,0,0.225,0.225,0.225,0.225,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,static_p1,static,1,0.225,0.225,0.225,0.225,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,static_p2,static,2,0.225,0.225,0.225,0.225,0.0,0.9
blend_baseline_static_alpha_0.90,baseline_static_blend,static_p3,static,3,0.225,0.225,0.225,0.225,0.0,0.9
blend_baseline_static_alpha_0.95,baseline_static_blend,baseline_p0,baseline,0,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,baseline_p1,baseline,1,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,baseline_p2,baseline,2,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,baseline_p3,baseline,3,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.012500000000000011,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,static_p0,static,0,0.2375,0.2375,0.2375,0.2375,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,static_p1,static,1,0.2375,0.2375,0.2375,0.2375,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,static_p2,static,2,0.2375,0.2375,0.2375,0.2375,0.0,0.95
blend_baseline_static_alpha_0.95,baseline_static_blend,static_p3,static,3,0.2375,0.2375,0.2375,0.2375,0.0,0.95
blend_baseline_static_alpha_1.00,baseline_static_blend,static_p0,static,0,0.25,0.25,0.25,0.25,0.0,1.0
blend_baseline_static_alpha_1.00,baseline_static_blend,static_p1,static,1,0.25,0.25,0.25,0.25,0.0,1.0
blend_baseline_static_alpha_1.00,baseline_static_blend,static_p2,static,2,0.25,0.25,0.25,0.25,0.0,1.0
blend_baseline_static_alpha_1.00,baseline_static_blend,static_p3,static,3,0.25,0.25,0.25,0.25,0.0,1.0
top2_mean_by_val_mse,topk_mean,static_p1,static,1,0.5,0.5,0.5,0.5,0.0,
top2_mean_by_val_mse,topk_mean,static_p3,static,3,0.5,0.5,0.5,0.5,0.0,
top2_inverse_val_mse,topk_inverse_val_mse,static_p1,static,1,0.5003001192128932,0.5003001192128932,0.5003001192128932,0.5003001192128932,0.0,
top2_inverse_val_mse,topk_inverse_val_mse,static_p3,static,3,0.49969988078710686,0.49969988078710686,0.49969988078710686,0.49969988078710686,0.0,
top3_mean_by_val_mse,topk_mean,baseline_p1,baseline,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
top3_mean_by_val_mse,topk_mean,static_p1,static,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
top3_mean_by_val_mse,topk_mean,static_p3,static,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,
top3_inverse_val_mse,topk_inverse_val_mse,baseline_p1,baseline,1,0.3328099263881964,0.3328099263881964,0.3328099263881964,0.3328099263881964,0.0,
top3_inverse_val_mse,topk_inverse_val_mse,static_p1,static,1,0.3337952733656443,0.3337952733656443,0.3337952733656443,0.3337952733656443,0.0,
top3_inverse_val_mse,topk_inverse_val_mse,static_p3,static,3,0.3333948002461593,0.3333948002461593,0.3333948002461593,0.3333948002461593,0.0,
top4_mean_by_val_mse,topk_mean,baseline_p1,baseline,1,0.25,0.25,0.25,0.25,0.0,
top4_mean_by_val_mse,topk_mean,static_p1,static,1,0.25,0.25,0.25,0.25,0.0,
top4_mean_by_val_mse,topk_mean,static_p2,static,2,0.25,0.25,0.25,0.25,0.0,
top4_mean_by_val_mse,topk_mean,static_p3,static,3,0.25,0.25,0.25,0.25,0.0,
top4_inverse_val_mse,topk_inverse_val_mse,baseline_p1,baseline,1,0.24975180485497503,0.24975180485497503,0.24975180485497503,0.24975180485497503,0.0,
top4_inverse_val_mse,topk_inverse_val_mse,static_p1,static,1,0.25049124249343946,0.25049124249343946,0.25049124249343946,0.25049124249343946,0.0,
top4_inverse_val_mse,topk_inverse_val_mse,static_p2,static,2,0.24956623870749756,0.24956623870749756,0.24956623870749756,0.24956623870749756,0.0,
top4_inverse_val_mse,topk_inverse_val_mse,static_p3,static,3,0.2501907139440878,0.2501907139440878,0.2501907139440878,0.2501907139440878,0.0,
top5_mean_by_val_mse,topk_mean,baseline_p1,baseline,1,0.2,0.2,0.2,0.2,0.0,
top5_mean_by_val_mse,topk_mean,baseline_p2,baseline,2,0.2,0.2,0.2,0.2,0.0,
top5_mean_by_val_mse,topk_mean,static_p1,static,1,0.2,0.2,0.2,0.2,0.0,
top5_mean_by_val_mse,topk_mean,static_p2,static,2,0.2,0.2,0.2,0.2,0.0,
top5_mean_by_val_mse,topk_mean,static_p3,static,3,0.2,0.2,0.2,0.2,0.0,
top5_inverse_val_mse,topk_inverse_val_mse,baseline_p1,baseline,1,0.19997747288762288,0.19997747288762288,0.19997747288762288,0.19997747288762288,0.0,
