group,rank,target,target_name,abs_delta_sum,mass_share,active_source_count,top_source,top_source_mass
fold4_active,74,816,816,0.0,0.0,0,0,0.0
fold4_active,75,815,815,0.0,0.0,0,0,0.0
fold4_active,76,814,814,0.0,0.0,0,0,0.0
fold4_active,77,813,813,0.0,0.0,0,0,0.0
fold4_active,78,812,812,0.0,0.0,0,0,0.0
fold4_active,79,811,811,0.0,0.0,0,0,0.0
fold4_active,80,810,810,0.0,0.0,0,0,0.0
fold4_active,81,809,809,0.0,0.0,0,0,0.0
fold4_active,82,808,808,0.0,0.0,0,0,0.0
fold4_active,83,807,807,0.0,0.0,0,0,0.0
fold4_active,84,806,806,0.0,0.0,0,0,0.0
fold4_active,85,805,805,0.0,0.0,0,0,0.0
fold4_active,86,804,804,0.0,0.0,0,0,0.0
fold4_active,87,803,803,0.0,0.0,0,0,0.0
fold4_active,88,802,802,0.0,0.0,0,0,0.0
fold4_active,89,801,801,0.0,0.0,0,0,0.0
fold4_active,90,800,800,0.0,0.0,0,0,0.0
fold4_active,91,798,798,0.0,0.0,0,0,0.0
fold4_active,92,797,797,0.0,0.0,0,0,0.0
fold4_active,93,795,795,0.0,0.0,0,0,0.0
fold4_active,94,794,794,0.0,0.0,0,0,0.0
fold4_active,95,793,793,0.0,0.0,0,0,0.0
fold4_active,96,792,792,0.0,0.0,0,0,0.0
fold4_active,97,791,791,0.0,0.0,0,0,0.0
fold4_active,98,790,790,0.0,0.0,0,0,0.0
fold4_active,99,789,789,0.0,0.0,0,0,0.0
fold4_active,100,788,788,0.0,0.0,0,0,0.0
fold4_inactive,1,840,840,23870.659430027008,0.7018552781845597,346,858,475.269210934639
fold4_inactive,2,524,524,2004.5535541176796,0.05893873591909899,70,353,128.97902435064316
fold4_inactive,3,722,722,1774.3687003850937,0.05217074297680374,81,31,113.42780834436417
fold4_inactive,4,724,724,1525.6711713671684,0.044858432484320164,76,140,115.27607434988022
fold4_inactive,5,495,495,605.4368282556534,0.017801311051509075,25,304,115.94217544794083
fold4_inactive,6,843,843,462.2932830452919,0.013592543671686896,14,27,97.6679818034172
fold4_inactive,7,700,700,425.3881896138191,0.012507444422849588,25,710,68.90639102458954
fold4_inactive,8,53,53,285.7397765517235,0.008401442404554338,20,285,86.02240890264511
fold4_inactive,9,726,726,268.7752853631973,0.007902645221456617,34,606,26.974157691001892
fold4_inactive,10,37,37,205.941814661026,0.006055188799557344,10,753,34.27630192041397
fold4_inactive,11,748,748,170.96741783618927,0.005026856713265869,15,285,61.93945395946503
fold4_inactive,12,807,807,162.0627224445343,0.004765037073151649,12,226,88.15568470954895
fold4_inactive,13,591,591,157.16198843717575,0.0046209436081124525,3,253,97.89784890413284
fold4_inactive,14,50,50,156.1028979420662,0.004589803779058015,6,443,61.38491249084473
fold4_inactive,15,370,370,110.6136983036995,0.0032523109896289166,10,170,47.879982590675354
fold4_inactive,16,233,233,106.81404078006744,0.003140591843533596,8,406,29.520093500614166
fold4_inactive,17,287,287,104.71608024835587,0.0030789067159433447,5,294,54.624308586120605
fold4_inactive,18,762,762,103.59183847904205,0.003045851281422927,8,167,35.53430676460266
fold4_inactive,19,530,530,101.52450734376907,0.0029850667323701495,10,290,33.881991028785706
fold4_inactive,20,104,104,90.59032201766968,0.002663575166279705,1,208,90.59032201766968
fold4_inactive,21,204,204,87.48900163173676,0.002572388825634656,4,104,49.14831954240799
fold4_inactive,22,396,396,78.6840313076973,0.0023135013443608085,7,76,25.14013659954071
fold4_inactive,23,512,512,76.10256546735764,0.0022375999881034925,6,427,29.505447804927826
fold4_inactive,24,449,449,65.69845378398895,0.0019316938726398995,6,443,39.549247443675995
fold4_inactive,25,286,286,65.22372621297836,0.0019177357307464922,8,640,24.969777643680573
fold4_inactive,26,860,860,58.98323351144791,0.0017342501109260423,2,157,41.17649805545807
fold4_inactive,27,467,467,43.45909321308136,0.0012778027371270412,2,522,34.53218114376068
fold4_inactive,28,742,742,39.05291438102722,0.0011482503936332453,2,713,33.9126455783844
fold4_inactive,29,711,711,34.08991026878357,0.0010023260364934417,3,296,16.261170387268066
fold4_inactive,30,183,183,31.465675055980682,0.0009251671569617503,1,784,31.465675055980682
fold4_inactive,31,170,170,30.366449534893036,0.000892847260808397,3,537,28.458390712738037
fold4_inactive,32,799,799,29.199108839035034,0.0008585246133243912,2,327,18.14712691307068
fold4_inactive,33,796,796,27.54755538702011,0.0008099649365002771,1,27,27.54755538702011
fold4_inactive,34,244,244,27.471509158611298,0.0008077289929583231,2,48,20.54668802022934
fold4_inactive,35,464,464,27.343419134616852,0.000803962835609934,2,683,26.570730209350586
fold4_inactive,36,787,787,25.45606940984726,0.0007484701765155046,2,16,24.819998562335968
fold4_inactive,37,360,360,25.44926607608795,0.0007482701420035876,1,377,25.44926607608795
fold4_inactive,38,680,680,25.03043282032013,0.000735955428532786,4,492,19.100817143917084
fold4_inactive,39,850,850,24.537814259529114,0.0007214712481507418,9,653,5.959013640880585
fold4_inactive,40,88,88,24.226254880428314,0.0007123106468137409,2,653,18.47415339946747
fold4_inactive,41,196,196,23.804211914539337,0.0006999015600812128,1,199,23.804211914539337
fold4_inactive,42,848,848,23.131461918354034,0.000680121078645189,2,799,16.04669451713562
